Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
12638,0.23,0.04,0.19,0.01,0.12,0.01,0.05,0.01,0.14,0.03,0.01,0.04,1
12639,0.09,0.09,0.03,0.05,0.07,0.05,0.1,0.05,0.03,0.09,0.02,0.02,16
12640,0.26,0.03,0.2,0.02,0.06,0.02,0.1,0.02,0.09,0.05,0.02,0.01,1
12641,0.41,0.02,0.01,0.01,0.04,0.03,0.22,0.01,0.03,0.17,0.01,0.01,1
12642,0.09,0.03,0.05,0.01,0.12,0.01,0.25,0.04,0.17,0.01,0.01,0.03,11
12643,0.04,0.03,0.05,0.02,0.04,0.02,0.35,0.06,0.02,0.02,0.03,0.08,11
12644,0.44,0.11,0.01,0.02,0.08,0.02,0.06,0.02,0.02,0.03,0.02,0.03,1
12645,0.01,0.06,0.1,0.01,0.23,0.03,0.16,0.01,0.08,0.16,0.01,0.02,6
12646,0.05,0.03,0.03,0.04,0.03,0.03,0.23,0.05,0.03,0.07,0.04,0.03,11
12647,0.02,0.02,0.04,0.02,0.09,0.02,0.34,0.09,0.02,0.13,0.04,0.03,11
12648,0.28,0.02,0.02,0.01,0.11,0.01,0.32,0.05,0.01,0.1,0.01,0.01,11
12649,0.03,0.03,0.02,0.01,0.05,0.04,0.3,0.04,0.06,0.21,0.01,0.04,11
12650,0.17,0.08,0.02,0.02,0.1,0.02,0.15,0.02,0.02,0.12,0.03,0.1,1
12651,0.23,0.03,0.02,0.03,0.03,0.02,0.21,0.09,0.02,0.02,0.02,0.03,1
12652,0.03,0.03,0.03,0.03,0.08,0.03,0.33,0.12,0.03,0.03,0.03,0.03,11
12653,0.22,0.03,0.01,0.01,0.07,0.01,0.27,0.02,0.11,0.05,0.01,0.07,11
12654,0.04,0.05,0.06,0.04,0.11,0.04,0.21,0.04,0.04,0.04,0.04,0.04,11
12655,0.04,0.01,0.01,0.01,0.09,0.04,0.45,0.06,0.02,0.03,0.02,0.06,11
12656,0.03,0.06,0.03,0.03,0.08,0.03,0.32,0.03,0.03,0.04,0.03,0.03,11
12657,0.1,0.15,0.02,0.01,0.07,0.01,0.23,0.01,0.02,0.03,0.01,0.08,11
12658,0.11,0.06,0.02,0.02,0.03,0.02,0.3,0.08,0.05,0.04,0.03,0.05,11
12659,0.08,0.03,0.01,0.01,0.15,0.01,0.25,0.17,0.04,0.04,0.01,0.01,11
12660,0.23,0.03,0.01,0.01,0.02,0.01,0.39,0.01,0.01,0.11,0.01,0.01,11
12661,0.02,0.01,0.01,0.01,0.03,0.07,0.16,0.02,0.06,0.04,0.01,0.01,15
12662,0.19,0.03,0.01,0.01,0.13,0.02,0.3,0.08,0.01,0.02,0.01,0.01,11
12663,0.23,0.04,0.19,0.01,0.12,0.01,0.05,0.01,0.14,0.03,0.01,0.04,1
12664,0.04,0.01,0.01,0.01,0.19,0.01,0.44,0.01,0.02,0.07,0.01,0.04,11
12665,0.17,0.01,0.03,0.01,0.05,0.03,0.46,0.02,0.06,0.08,0.01,0.01,11
12666,0.04,0.01,0.01,0.01,0.14,0.01,0.51,0.02,0.01,0.08,0.01,0.01,11
12667,0.05,0.04,0.04,0.04,0.15,0.04,0.04,0.04,0.04,0.08,0.04,0.04,6
12668,0.05,0.09,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
12669,0.07,0.07,0.04,0.04,0.05,0.04,0.14,0.04,0.04,0.08,0.04,0.04,11
12670,0.03,0.09,0.03,0.03,0.18,0.03,0.22,0.03,0.03,0.06,0.03,0.06,11
12671,0.07,0.03,0.12,0.01,0.12,0.04,0.27,0.01,0.14,0.05,0.01,0.06,11
12672,0.08,0.07,0.05,0.05,0.05,0.06,0.18,0.04,0.04,0.03,0.02,0.02,10
12673,0.09,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08,0.03,0.03,0.21,18
12674,0.27,0.02,0.08,0.04,0.12,0.02,0.11,0.06,0.04,0.02,0.02,0.03,1
