Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5654,0.02,0.15,0.02,0.03,0.42,12
5655,0.01,0.33,0.02,0.01,0.48,12
5656,0.03,0.12,0.03,0.03,0.41,12
5657,0.03,0.2,0.05,0.03,0.23,12
5658,0.01,0.59,0.14,0.04,0.02,2
5659,0.04,0.22,0.04,0.04,0.04,2
5660,0.04,0.05,0.04,0.04,0.16,12
5661,0.02,0.45,0.02,0.02,0.17,2
5662,0.03,0.27,0.05,0.04,0.09,2
5663,0.02,0.66,0.02,0.02,0.02,2
5664,0.02,0.55,0.07,0.02,0.07,2
5665,0.04,0.18,0.04,0.04,0.14,2
5666,0.01,0.71,0.02,0.01,0.02,2
5667,0.01,0.48,0.26,0.02,0.04,2
5668,0.02,0.63,0.02,0.02,0.03,2
5669,0.02,0.53,0.02,0.02,0.03,2
5670,0.01,0.78,0.12,0.01,0.01,2
5671,0.02,0.51,0.02,0.03,0.04,2
5672,0.01,0.58,0.29,0.01,0.01,2
5673,0.01,0.65,0.01,0.01,0.1,2
5674,0.05,0.05,0.05,0.04,0.11,12
5675,0.02,0.7,0.02,0.02,0.02,2
5676,0.01,0.8,0.01,0.01,0.02,2
5677,0.02,0.51,0.03,0.04,0.04,2
5678,0.03,0.26,0.03,0.03,0.26,2
5679,0.03,0.14,0.03,0.03,0.35,12
5680,0.02,0.54,0.1,0.02,0.03,2
5681,0.02,0.17,0.03,0.02,0.4,12
5682,0.01,0.66,0.07,0.05,0.02,2
5683,0.01,0.77,0.01,0.01,0.02,2
5684,0.02,0.44,0.03,0.03,0.03,2
5685,0.01,0.58,0.17,0.01,0.08,2
5686,0.02,0.61,0.03,0.02,0.07,2
5687,0.03,0.34,0.03,0.03,0.08,2
5688,0.03,0.28,0.19,0.03,0.04,2
5689,0.03,0.37,0.04,0.04,0.06,2
5690,0.04,0.24,0.06,0.04,0.05,2
5691,0.02,0.63,0.02,0.02,0.07,2
5692,0.01,0.79,0.01,0.01,0.02,2
5693,0.03,0.24,0.03,0.03,0.14,2
5694,0.02,0.19,0.22,0.03,0.18,6
5695,0.03,0.32,0.03,0.04,0.05,2
5696,0.02,0.56,0.02,0.09,0.03,2
5697,0.02,0.51,0.02,0.02,0.04,2
5698,0.03,0.28,0.03,0.03,0.17,2
5699,0.03,0.34,0.05,0.04,0.05,2
5700,0.05,0.05,0.05,0.05,0.13,12
5701,0.04,0.27,0.08,0.04,0.05,2
5702,0.03,0.34,0.05,0.04,0.03,2
5703,0.03,0.42,0.04,0.03,0.06,2
5704,0.02,0.3,0.02,0.02,0.41,12
5705,0.01,0.77,0.01,0.02,0.02,2
5706,0.03,0.35,0.03,0.03,0.04,2
5707,0.01,0.72,0.04,0.01,0.02,2
5708,0.02,0.47,0.02,0.12,0.03,2
5709,0.0,0.59,0.0,0.0,0.01,2
5710,0.02,0.63,0.02,0.04,0.05,2
5711,0.02,0.52,0.02,0.02,0.1,2
5712,0.01,0.49,0.28,0.01,0.02,2
5713,0.03,0.35,0.03,0.03,0.14,2
5714,0.02,0.58,0.03,0.02,0.12,2
5715,0.02,0.53,0.02,0.02,0.1,2
5716,0.02,0.28,0.02,0.02,0.37,12
