Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
11309,0.02,0.02,0.1,0.04,0.03,0.02,0.26,0.02,0.02,0.02,0.03,0.07,0.02,0.04,0.05,0.06,0.11,0.03,0.03
11310,0.03,0.08,0.01,0.09,0.01,0.01,0.05,0.01,0.01,0.04,0.01,0.02,0.04,0.03,0.08,0.01,0.45,0.01,0.01
11311,0.02,0.14,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.04,0.01,0.07,0.02,0.02,0.04,0.27,0.21,0.01,0.04
11312,0.03,0.09,0.03,0.03,0.01,0.01,0.15,0.01,0.01,0.01,0.03,0.03,0.02,0.06,0.03,0.03,0.37,0.03,0.02
11313,0.03,0.13,0.03,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.22,0.03,0.05,0.04,0.03
11314,0.01,0.3,0.05,0.08,0.01,0.01,0.12,0.02,0.01,0.05,0.01,0.03,0.01,0.02,0.01,0.02,0.22,0.01,0.03
11315,0.09,0.07,0.08,0.03,0.03,0.05,0.06,0.03,0.02,0.02,0.02,0.1,0.03,0.09,0.02,0.04,0.15,0.02,0.04
11316,0.01,0.08,0.04,0.06,0.01,0.01,0.21,0.01,0.01,0.02,0.01,0.02,0.01,0.06,0.02,0.14,0.26,0.01,0.02
11317,0.02,0.06,0.02,0.11,0.04,0.02,0.25,0.02,0.03,0.1,0.02,0.02,0.02,0.05,0.05,0.02,0.13,0.02,0.02
11318,0.02,0.02,0.04,0.09,0.02,0.02,0.12,0.02,0.02,0.03,0.06,0.04,0.03,0.02,0.05,0.08,0.26,0.02,0.04
11319,0.01,0.01,0.02,0.16,0.01,0.01,0.23,0.01,0.01,0.06,0.01,0.02,0.01,0.17,0.06,0.02,0.11,0.01,0.05
11320,0.05,0.04,0.01,0.1,0.05,0.01,0.36,0.02,0.01,0.02,0.03,0.07,0.03,0.06,0.05,0.03,0.02,0.01,0.02
11321,0.02,0.02,0.03,0.08,0.02,0.02,0.37,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.14,0.03,0.03,0.02,0.04
11322,0.02,0.02,0.09,0.03,0.02,0.02,0.16,0.02,0.02,0.07,0.04,0.13,0.02,0.02,0.03,0.03,0.2,0.02,0.02
11323,0.06,0.02,0.04,0.16,0.02,0.02,0.04,0.03,0.02,0.02,0.02,0.04,0.03,0.02,0.02,0.02,0.4,0.02,0.02
11324,0.02,0.02,0.07,0.13,0.01,0.01,0.12,0.01,0.01,0.02,0.01,0.06,0.02,0.04,0.12,0.03,0.24,0.01,0.05
11325,0.11,0.03,0.04,0.03,0.01,0.01,0.11,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.46,0.01,0.05
11326,0.12,0.04,0.15,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.31,0.02,0.07
11327,0.02,0.02,0.06,0.04,0.01,0.01,0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.06,0.01,0.01,0.61,0.01,0.02
11328,0.02,0.02,0.03,0.14,0.02,0.02,0.18,0.02,0.02,0.04,0.02,0.03,0.03,0.04,0.03,0.2,0.11,0.02,0.03
11329,0.02,0.08,0.04,0.16,0.02,0.01,0.17,0.01,0.01,0.03,0.01,0.02,0.04,0.03,0.05,0.02,0.25,0.01,0.01
11330,0.18,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.04,0.1,0.03,0.14
11331,0.02,0.13,0.03,0.02,0.01,0.02,0.31,0.01,0.01,0.02,0.01,0.03,0.06,0.1,0.08,0.06,0.07,0.01,0.01
11332,0.04,0.03,0.11,0.12,0.03,0.01,0.2,0.01,0.01,0.02,0.06,0.07,0.01,0.02,0.04,0.04,0.13,0.01,0.01
